hotel,date,room_type,capacity,occupied,adr,room_revenue,fnb_revenue,spa_revenue,other_revenue,total_revenue,rooms_cost,fnb_cost,spa_cost,other_cost,total_cost,channel,occupancy_rate,revpar,gop,goppar
Hôtel des Îles,2024-12-24,Suite,5,4,230.12,920.48,122.82,64.64,90.8,1198.74,252.18,44.4,13.63,53.71,363.92,OTA,0.8,184.096,834.8199999999999,166.964
Hôtel des Îles,2024-12-25,Single,10,7,71.46,500.22,37.92,11.92,206.01,756.07,110.42,11.21,2.78,82.37,206.78,Agency,0.7,50.022000000000006,549.2900000000001,54.92900000000001
Hôtel des Îles,2024-12-25,Double,30,19,93.68,1779.92,439.18,7.14,69.34,2295.58,459.34,134.55,1.69,21.62,617.2,Direct,0.6333333333333333,59.330666666666666,1678.3799999999999,55.946
Hôtel des Îles,2024-12-25,Deluxe,15,7,113.82,796.74,44.16,49.94,52.1,942.94,210.57,18.93,14.31,24.0,267.81,OTA,0.4666666666666667,53.116,675.1300000000001,45.00866666666668
Hôtel des Îles,2024-12-25,Suite,5,3,282.85,848.55,89.72,65.09,78.56,1081.92,201.08,27.5,16.65,33.11,278.34,Agency,0.6,169.70999999999998,803.5800000000002,160.71600000000004
Hôtel des Îles,2024-12-26,Single,10,8,52.06,416.48,63.34,8.62,113.29,601.73,67.91,19.68,3.39,66.09,157.07,Direct,0.8,41.648,444.66,44.466
Hôtel des Îles,2024-12-26,Double,30,17,96.7,1643.9,323.24,130.91,107.5,2205.55,379.3,115.29,36.8,37.71,569.1,Agency,0.5666666666666667,54.79666666666667,1636.4500000000003,54.54833333333334
Hôtel des Îles,2024-12-26,Deluxe,15,7,144.88,1014.16,191.67,41.8,248.06,1495.69,245.12,62.14,14.82,87.1,409.18,OTA,0.4666666666666667,67.61066666666666,1086.51,72.434
Hôtel des Îles,2024-12-26,Suite,5,3,256.87,770.61,127.38,21.09,212.0,1131.08,143.14,37.56,6.35,80.19,267.24,Direct,0.6,154.122,863.8399999999999,172.76799999999997
Hôtel des Îles,2024-12-27,Single,10,5,30.96,154.8,34.47,1.73,163.84,354.84,43.37,12.64,0.59,67.44,124.04,Direct,0.5,15.48,230.79999999999995,23.079999999999995
Hôtel des Îles,2024-12-27,Double,30,18,86.56,1558.08,379.12,55.27,114.2,2106.67,356.67,146.93,14.08,59.49,577.17,Direct,0.6,51.936,1529.5,50.983333333333334
Hôtel des Îles,2024-12-27,Deluxe,15,12,138.06,1656.72,189.11,25.48,111.89,1983.2,490.78,62.83,7.36,52.92,613.89,Agency,0.8,110.44800000000001,1369.31,91.28733333333334
Hôtel des Îles,2024-12-27,Suite,5,4,268.13,1072.52,198.82,5.5,169.23,1446.07,279.86,58.09,2.03,52.31,392.29,Corporate,0.8,214.504,1053.78,210.756
Hôtel des Îles,2024-12-28,Single,10,6,55.58,333.48,58.04,14.53,75.13,481.18,64.51,17.28,3.53,31.81,117.13,OTA,0.6,33.348,364.05,36.405
Hôtel des Îles,2024-12-28,Double,30,20,70.83,1416.6,90.11,35.91,103.36,1645.98,319.99,36.54,13.35,57.21,427.09,OTA,0.6666666666666666,47.22,1218.89,40.62966666666667
Hôtel des Îles,2024-12-28,Deluxe,15,8,105.58,844.64,159.36,51.78,110.82,1166.6,229.53,49.21,14.98,57.42,351.14,OTA,0.5333333333333333,56.309333333333335,815.4599999999999,54.364
Hôtel des Îles,2024-12-28,Suite,5,1,267.98,267.98,21.78,16.12,163.65,469.53,51.24,7.51,4.3,77.54,140.59,Corporate,0.2,53.596000000000004,328.93999999999994,65.78799999999998
Hôtel des Îles,2024-12-29,Single,10,6,63.24,379.44,32.77,15.3,114.56,542.07,71.61,11.23,3.47,66.25,152.56,Corporate,0.6,37.944,389.51000000000005,38.95100000000001
Hôtel des Îles,2024-12-29,Double,30,16,86.11,1377.76,100.29,70.97,216.86,1765.88,325.98,38.04,20.7,99.45,484.17,Direct,0.5333333333333333,45.925333333333334,1281.71,42.72366666666667
Hôtel des Îles,2024-12-29,Deluxe,15,8,147.92,1183.36,90.74,65.48,209.0,1548.58,206.5,24.58,15.0,117.7,363.78,OTA,0.5333333333333333,78.89066666666666,1184.8,78.98666666666666
Hôtel des Îles,2024-12-29,Suite,5,3,267.05,801.15,140.37,4.82,72.48,1018.82,126.1,42.32,1.09,27.4,196.91,OTA,0.6,160.23,821.9100000000001,164.382
Hôtel des Îles,2024-12-30,Single,10,4,71.22,284.88,56.17,6.27,177.82,525.14,57.3,25.25,1.58,68.24,152.37,Agency,0.4,28.488,372.77,37.277
Hôtel des Îles,2024-12-30,Double,30,23,101.31,2330.13,418.18,23.93,180.04,2952.28,692.92,180.81,6.89,56.17,936.79,OTA,0.7666666666666667,77.671,2015.4900000000002,67.183
Hôtel des Îles,2024-12-30,Deluxe,15,7,137.91,965.37,138.83,71.71,178.22,1354.13,189.93,49.29,15.29,105.47,359.98,OTA,0.4666666666666667,64.358,994.1500000000001,66.27666666666667
Hôtel des Îles,2024-12-30,Suite,5,3,297.83,893.49,92.59,22.56,75.05,1083.69,221.88,23.88,7.21,42.1,295.07,Corporate,0.6,178.698,788.6200000000001,157.72400000000002
Hôtel des Îles,2024-12-31,Single,10,6,51.97,311.82,30.85,10.51,217.77,570.95,87.8,9.21,3.26,77.91,178.18,Direct,0.6,31.182,392.77000000000004,39.277
Hôtel des Îles,2024-12-31,Double,30,14,98.16,1374.24,218.91,10.04,201.33,1804.52,326.2,62.9,2.39,71.53,463.02,Direct,0.4666666666666667,45.808,1341.5,44.71666666666667
Hôtel des Îles,2024-12-31,Deluxe,15,9,129.23,1163.07,139.48,55.49,104.84,1462.88,179.1,55.38,18.04,49.72,302.24,OTA,0.6,77.538,1160.64,77.376
Hôtel des Îles,2024-12-31,Suite,5,3,276.71,830.13,201.35,41.73,86.82,1160.03,137.68,83.07,13.18,42.15,276.08,Corporate,0.6,166.026,883.95,176.79000000000002
Hôtel des Îles,2025-01-01,Single,10,5,66.38,331.9,37.45,25.44,56.68,451.47,78.65,10.61,8.71,19.99,117.96,Direct,0.5,33.19,333.51000000000005,33.351000000000006
Hôtel des Îles,2025-01-01,Double,30,18,83.06,1495.08,118.59,77.26,96.58,1787.51,259.42,45.86,24.63,50.84,380.75,Direct,0.6,49.836,1406.76,46.892
Hôtel des Îles,2025-01-01,Deluxe,15,9,119.39,1074.51,129.92,48.53,100.46,1353.42,308.7,39.38,18.4,33.26,399.74,OTA,0.6,71.634,953.6800000000001,63.57866666666667
Hôtel des Îles,2025-01-01,Suite,5,2,302.31,604.62,53.0,14.69,68.6,740.91,103.74,14.36,4.18,36.95,159.23,Direct,0.4,120.924,581.68,116.33599999999998
Hôtel des Îles,2025-01-02,Single,10,8,48.56,388.48,61.17,21.04,186.53,657.22,94.91,18.55,4.37,81.45,199.28,Corporate,0.8,38.848,457.94000000000005,45.794000000000004
Hôtel des Îles,2025-01-02,Double,30,18,79.46,1430.28,102.13,89.33,232.04,1853.78,296.68,38.41,25.55,100.09,460.73,Direct,0.6,47.676,1393.05,46.434999999999995
Hôtel des Îles,2025-01-02,Deluxe,15,8,122.27,978.16,62.07,20.97,232.44,1293.64,239.63,24.47,5.27,119.9,389.27,Direct,0.5333333333333333,65.21066666666667,904.3700000000001,60.29133333333334
Hôtel des Îles,2025-01-02,Suite,5,3,286.22,858.66,154.95,27.83,169.21,1210.65,142.64,39.26,10.63,64.45,256.98,Corporate,0.6,171.732,953.6700000000001,190.734
Hôtel des Îles,2025-01-03,Single,10,1,53.14,53.14,12.39,2.14,209.02,276.69,9.05,5.52,0.84,72.97,88.38,Direct,0.1,5.314,188.31,18.831
Hôtel des Îles,2025-01-03,Double,30,22,82.99,1825.78,216.25,143.34,175.94,2361.31,387.84,61.27,56.94,96.11,602.16,Direct,0.7333333333333333,60.85933333333333,1759.15,58.638333333333335
Hôtel des Îles,2025-01-03,Deluxe,15,12,164.56,1974.72,274.84,111.94,196.37,2557.87,347.74,88.57,36.66,63.08,536.05,OTA,0.8,131.648,2021.82,134.78799999999998
Hôtel des Îles,2025-01-03,Suite,5,3,311.65,934.95,195.66,44.53,227.32,1402.46,197.87,72.56,14.52,96.66,381.61,Direct,0.6,186.99,1020.85,204.17000000000002
Hôtel des Îles,2025-01-04,Single,10,8,52.67,421.36,63.71,5.48,241.95,732.5,117.03,26.93,1.54,127.92,273.42,Direct,0.8,42.136,459.08,45.908
Hôtel des Îles,2025-01-04,Double,30,24,86.28,2070.72,106.63,70.02,193.61,2440.98,448.11,42.27,17.27,105.31,612.96,OTA,0.8,69.02399999999999,1828.02,60.934
Hôtel des Îles,2025-01-04,Deluxe,15,11,133.86,1472.46,149.69,102.13,183.85,1908.13,319.84,52.03,24.6,89.73,486.2,OTA,0.7333333333333333,98.164,1421.93,94.79533333333333
Hôtel des Îles,2025-01-04,Suite,5,0,265.14,0.0,0.0,0.0,193.74,193.74,0.0,0.0,0.0,85.09,85.09,Direct,0.0,0.0,108.65,21.73
Hôtel des Îles,2025-01-05,Single,10,4,63.67,254.68,40.39,2.64,125.16,422.87,41.99,15.13,0.76,66.76,124.64,Direct,0.4,25.468,298.23,29.823
Hôtel des Îles,2025-01-05,Double,30,21,88.11,1850.31,283.94,12.47,246.92,2393.64,462.51,87.19,3.96,82.19,635.85,Agency,0.7,61.677,1757.79,58.592999999999996
Hôtel des Îles,2025-01-05,Deluxe,15,11,158.63,1744.93,322.26,85.78,228.49,2381.46,282.32,101.89,21.42,136.27,541.9,OTA,0.7333333333333333,116.32866666666668,1839.56,122.63733333333333
Hôtel des Îles,2025-01-05,Suite,5,2,222.0,444.0,58.71,8.32,53.93,564.96,125.17,26.02,2.23,21.66,175.08,Direct,0.4,88.8,389.88,77.976
Hôtel des Îles,2025-01-06,Single,10,5,57.06,285.3,49.43,1.02,174.51,510.26,56.02,16.0,0.36,94.81,167.19,OTA,0.5,28.53,343.07,34.307
Hôtel des Îles,2025-01-06,Double,30,14,84.19,1178.66,272.92,8.24,237.3,1697.12,322.75,111.42,1.98,128.51,564.66,Corporate,0.4666666666666667,39.28866666666667,1132.46,37.748666666666665
Hôtel des Îles,2025-01-06,Deluxe,15,10,177.46,1774.6,94.75,136.34,58.92,2064.61,304.27,23.95,42.73,34.15,405.1,OTA,0.6666666666666666,118.30666666666666,1659.5100000000002,110.63400000000001
Hôtel des Îles,2025-01-06,Suite,5,2,133.18,266.36,17.16,14.58,150.64,448.74,70.52,5.96,3.35,74.49,154.32,Direct,0.4,53.272000000000006,294.42,58.884
Hôtel des Îles,2025-01-07,Single,10,4,49.16,196.64,12.7,9.86,100.64,319.84,53.2,5.25,3.9,45.34,107.69,OTA,0.4,19.663999999999998,212.14999999999998,21.214999999999996
Hôtel des Îles,2025-01-07,Double,30,17,76.97,1308.49,174.81,89.32,221.23,1793.85,215.75,46.87,22.56,124.43,409.61,Direct,0.5666666666666667,43.61633333333334,1384.2399999999998,46.14133333333333
Hôtel des Îles,2025-01-07,Deluxe,15,8,163.69,1309.52,126.68,66.96,97.14,1600.3,336.61,53.81,15.09,54.4,459.91,OTA,0.5333333333333333,87.30133333333333,1140.3899999999999,76.026
Hôtel des Îles,2025-01-07,Suite,5,4,291.87,1167.48,83.08,47.27,212.93,1510.76,339.06,29.3,18.44,98.1,484.9,OTA,0.8,233.496,1025.8600000000001,205.17200000000003
Hôtel des Îles,2025-01-08,Single,10,5,27.25,136.25,29.48,4.4,116.66,286.79,30.49,10.75,1.09,62.78,105.11,OTA,0.5,13.625,181.68,18.168
Hôtel des Îles,2025-01-08,Double,30,20,85.2,1704.0,142.75,62.8,111.42,2020.97,264.59,44.91,19.39,51.87,380.76,OTA,0.6666666666666666,56.8,1640.21,54.67366666666667
Hôtel des Îles,2025-01-08,Deluxe,15,10,122.79,1227.9,173.81,74.61,91.2,1567.52,314.83,44.19,21.17,48.59,428.78,Direct,0.6666666666666666,81.86,1138.74,75.916
Hôtel des Îles,2025-01-08,Suite,5,3,250.09,750.27,90.41,43.38,113.85,997.91,214.49,24.89,10.22,50.99,300.59,Direct,0.6,150.054,697.3199999999999,139.464
Hôtel des Îles,2025-01-09,Single,10,8,66.8,534.4,101.79,28.17,247.83,912.19,101.41,39.13,5.93,82.8,229.27,Direct,0.8,53.44,682.9200000000001,68.292
Hôtel des Îles,2025-01-09,Double,30,10,97.44,974.4,78.2,22.19,125.19,1199.98,256.7,27.99,4.78,38.23,327.7,Direct,0.3333333333333333,32.48,872.28,29.076
Hôtel des Îles,2025-01-09,Deluxe,15,10,136.87,1368.7,167.44,11.87,225.19,1773.2,366.09,47.49,3.59,100.48,517.65,OTA,0.6666666666666666,91.24666666666667,1255.5500000000002,83.70333333333335
Hôtel des Îles,2025-01-09,Suite,5,1,297.95,297.95,23.01,19.93,80.96,421.85,58.15,6.9,5.47,30.47,100.99,OTA,0.2,59.589999999999996,320.86,64.172
Hôtel des Îles,2025-01-10,Single,10,7,54.66,382.62,59.46,17.19,84.16,543.43,68.74,18.66,5.48,30.55,123.43,Direct,0.7,38.262,419.99999999999994,41.99999999999999
Hôtel des Îles,2025-01-10,Double,30,14,101.61,1422.54,293.82,106.69,188.39,2011.44,246.64,87.76,39.31,68.35,442.06,Direct,0.4666666666666667,47.418,1569.38,52.31266666666667
Hôtel des Îles,2025-01-10,Deluxe,15,8,126.13,1009.04,241.74,20.87,117.44,1389.09,212.24,62.91,6.25,39.58,320.98,OTA,0.5333333333333333,67.26933333333334,1068.11,71.20733333333332
Hôtel des Îles,2025-01-10,Suite,5,4,219.29,877.16,109.36,10.62,209.69,1206.83,224.63,31.5,2.9,69.56,328.59,OTA,0.8,175.432,878.24,175.648
Hôtel des Îles,2025-01-11,Single,10,8,73.32,586.56,49.8,17.77,218.63,872.76,144.66,18.93,6.63,124.22,294.44,Agency,0.8,58.65599999999999,578.3199999999999,57.831999999999994
Hôtel des Îles,2025-01-11,Double,30,22,93.66,2060.52,171.76,131.45,194.02,2557.75,335.7,58.87,30.86,77.85,503.28,Direct,0.7333333333333333,68.684,2054.4700000000003,68.48233333333334
Hôtel des Îles,2025-01-11,Deluxe,15,10,159.39,1593.9,148.38,15.36,220.31,1977.95,276.53,66.02,5.66,99.2,447.41,Agency,0.6666666666666666,106.26,1530.54,102.036
Hôtel des Îles,2025-01-11,Suite,5,5,251.77,1258.85,79.47,55.33,168.17,1561.82,312.08,23.93,15.1,93.02,444.13,Direct,1.0,251.76999999999998,1117.69,223.538
Hôtel des Îles,2025-01-12,Single,10,5,75.29,376.45,61.65,26.13,136.42,600.65,111.05,20.99,5.97,56.86,194.87,Agency,0.5,37.644999999999996,405.78,40.577999999999996
Hôtel des Îles,2025-01-12,Double,30,20,87.17,1743.4,360.16,61.74,147.05,2312.35,464.94,117.58,17.82,60.71,661.05,OTA,0.6666666666666666,58.11333333333334,1651.3,55.04333333333333
Hôtel des Îles,2025-01-12,Deluxe,15,9,180.86,1627.74,169.1,36.14,236.68,2069.66,420.82,61.8,11.91,73.08,567.61,OTA,0.6,108.516,1502.0499999999997,100.13666666666664
Hôtel des Îles,2025-01-12,Suite,5,3,282.67,848.01,121.55,3.58,57.51,1030.65,218.43,43.47,1.08,21.45,284.43,OTA,0.6,169.602,746.22,149.244
Hôtel des Îles,2025-01-13,Single,10,8,58.28,466.24,83.48,24.28,214.9,788.9,99.15,22.09,6.18,127.65,255.07,OTA,0.8,46.624,533.8299999999999,53.382999999999996
Hôtel des Îles,2025-01-13,Double,30,18,87.15,1568.7,367.32,121.53,158.11,2215.66,343.12,161.25,40.68,50.51,595.56,OTA,0.6,52.29,1620.1,54.00333333333333
Hôtel des Îles,2025-01-13,Deluxe,15,11,103.48,1138.28,94.31,45.87,216.04,1494.5,284.12,29.96,17.76,123.93,455.77,Direct,0.7333333333333333,75.88533333333334,1038.73,69.24866666666667
Hôtel des Îles,2025-01-13,Suite,5,5,355.77,1778.85,98.85,35.1,141.92,2054.72,434.53,35.73,12.23,54.49,536.98,OTA,1.0,355.77,1517.7399999999998,303.54799999999994
Hôtel des Îles,2025-01-14,Single,10,8,75.08,600.64,69.62,21.17,221.39,912.82,151.74,29.69,5.1,124.42,310.95,Direct,0.8,60.064,601.8700000000001,60.18700000000001
Hôtel des Îles,2025-01-14,Double,30,16,76.54,1224.64,72.93,34.51,221.31,1553.39,256.45,21.14,9.83,91.99,379.41,Agency,0.5333333333333333,40.821333333333335,1173.98,39.132666666666665
Hôtel des Îles,2025-01-14,Deluxe,15,8,126.14,1009.12,103.39,35.2,81.38,1229.09,294.8,41.7,8.93,38.84,384.27,OTA,0.5333333333333333,67.27466666666666,844.8199999999999,56.32133333333333
Hôtel des Îles,2025-01-14,Suite,5,1,319.12,319.12,51.23,2.93,75.23,448.51,73.22,15.56,0.6,38.88,128.26,Direct,0.2,63.824,320.25,64.05
Hôtel des Îles,2025-01-15,Single,10,6,64.92,389.52,62.45,26.21,249.37,727.55,83.57,19.61,9.99,89.12,202.29,OTA,0.6,38.952,525.26,52.525999999999996
Hôtel des Îles,2025-01-15,Double,30,20,85.85,1717.0,411.66,36.82,212.29,2377.77,271.81,147.22,7.88,123.17,550.08,Corporate,0.6666666666666666,57.233333333333334,1827.69,60.923
Hôtel des Îles,2025-01-15,Deluxe,15,9,140.65,1265.85,92.93,53.49,75.37,1487.64,302.38,32.2,17.36,22.84,374.78,Direct,0.6,84.39,1112.8600000000001,74.19066666666667
Hôtel des Îles,2025-01-15,Suite,5,3,236.42,709.26,121.11,16.96,132.16,979.49,129.55,53.68,3.84,54.39,241.46,Direct,0.6,141.852,738.03,147.606
Hôtel des Îles,2025-01-16,Single,10,8,53.5,428.0,22.25,2.9,211.53,664.68,113.73,9.63,1.08,106.81,231.25,Direct,0.8,42.8,433.42999999999995,43.342999999999996
Hôtel des Îles,2025-01-16,Double,30,17,95.44,1622.48,355.43,94.38,246.15,2318.44,281.26,104.9,22.87,132.37,541.4,Direct,0.5666666666666667,54.08266666666667,1777.04,59.23466666666666
Hôtel des Îles,2025-01-16,Deluxe,15,12,143.83,1725.96,397.53,127.89,51.82,2303.2,278.42,119.29,42.7,29.36,469.77,OTA,0.8,115.06400000000001,1833.4299999999998,122.22866666666665
Hôtel des Îles,2025-01-16,Suite,5,3,259.57,778.71,126.02,31.32,78.89,1014.94,168.44,39.93,9.53,37.53,255.43,Direct,0.6,155.74200000000002,759.51,151.902
Hôtel des Îles,2025-01-17,Single,10,5,51.19,255.95,42.33,3.17,121.24,422.69,65.15,15.32,0.88,51.66,133.01,OTA,0.5,25.595,289.68,28.968
Hôtel des Îles,2025-01-17,Double,30,26,84.64,2200.64,273.1,100.16,226.34,2800.24,641.02,108.67,21.77,113.34,884.8,OTA,0.8666666666666667,73.35466666666666,1915.4399999999998,63.84799999999999
Hôtel des Îles,2025-01-17,Deluxe,15,10,122.19,1221.9,269.89,73.22,104.46,1669.47,204.82,81.07,28.13,49.56,363.58,OTA,0.6666666666666666,81.46000000000001,1305.89,87.05933333333334
Hôtel des Îles,2025-01-17,Suite,5,3,262.49,787.47,59.7,33.82,237.31,1118.3,154.54,25.31,11.93,88.84,280.62,Direct,0.6,157.494,837.68,167.536
Hôtel des Îles,2025-01-18,Single,10,8,51.56,412.48,80.47,3.74,131.27,627.96,91.88,28.82,1.36,46.14,168.2,Corporate,0.8,41.248000000000005,459.76000000000005,45.976000000000006
Hôtel des Îles,2025-01-18,Double,30,18,96.07,1729.26,316.72,72.58,177.87,2296.43,347.06,136.62,23.04,57.92,564.64,OTA,0.6,57.642,1731.79,57.72633333333333
Hôtel des Îles,2025-01-18,Deluxe,15,8,133.99,1071.92,141.62,77.06,229.25,1519.85,271.04,59.73,16.78,128.27,475.82,Direct,0.5333333333333333,71.46133333333334,1044.03,69.602
Hôtel des Îles,2025-01-18,Suite,5,4,214.65,858.6,66.11,20.34,164.46,1109.51,185.7,21.11,7.1,93.42,307.33,Corporate,0.8,171.72,802.1800000000001,160.436
Hôtel des Îles,2025-01-19,Single,10,7,53.42,373.94,79.1,7.37,62.65,523.06,63.48,33.36,2.41,23.55,122.8,OTA,0.7,37.394,400.25999999999993,40.025999999999996
Hôtel des Îles,2025-01-19,Double,30,19,98.39,1869.41,352.99,2.41,124.53,2349.34,379.03,126.62,0.52,66.88,573.05,Direct,0.6333333333333333,62.31366666666667,1776.2900000000002,59.20966666666667
Hôtel des Îles,2025-01-19,Deluxe,15,9,156.45,1408.05,170.52,91.11,108.94,1778.62,331.85,68.05,25.13,42.58,467.61,OTA,0.6,93.86999999999999,1311.0099999999998,87.40066666666665
Hôtel des Îles,2025-01-19,Suite,5,2,271.15,542.3,37.8,10.07,191.78,781.95,148.35,15.93,2.85,62.67,229.8,OTA,0.4,108.46,552.1500000000001,110.43000000000002
Hôtel des Îles,2025-01-20,Single,10,8,69.74,557.92,37.9,15.06,67.94,678.82,164.16,15.59,4.4,24.94,209.09,Agency,0.8,55.791999999999994,469.73,46.973
Hôtel des Îles,2025-01-20,Double,30,21,75.62,1588.02,230.93,126.35,185.83,2131.13,255.85,103.59,35.58,71.77,466.79,OTA,0.7,52.934,1664.3400000000001,55.478
Hôtel des Îles,2025-01-20,Deluxe,15,11,119.89,1318.79,108.07,17.31,107.04,1551.21,354.66,46.59,6.84,39.57,447.66,Corporate,0.7333333333333333,87.91933333333333,1103.55,73.57
Hôtel des Îles,2025-01-20,Suite,5,4,237.55,950.2,187.53,34.47,247.86,1420.06,150.33,60.2,10.22,111.77,332.52,Direct,0.8,190.04000000000002,1087.54,217.50799999999998
Hôtel des Îles,2025-01-21,Single,10,6,64.08,384.48,42.56,12.26,113.38,552.68,84.63,13.07,4.81,44.66,147.17,Direct,0.6,38.448,405.51,40.551
Hôtel des Îles,2025-01-21,Double,30,19,72.03,1368.57,270.83,46.68,116.74,1802.82,270.25,109.63,9.82,35.47,425.17,Corporate,0.6333333333333333,45.619,1377.6499999999999,45.92166666666666
Hôtel des Îles,2025-01-21,Deluxe,15,10,136.86,1368.6,210.85,106.78,243.15,1929.38,249.48,86.92,25.57,88.52,450.49,OTA,0.6666666666666666,91.24,1478.89,98.59266666666667
Hôtel des Îles,2025-01-21,Suite,5,4,199.5,798.0,65.34,61.8,232.95,1158.09,139.68,17.92,13.42,133.44,304.46,Direct,0.8,159.6,853.6299999999999,170.72599999999997
Hôtel des Îles,2025-01-22,Single,10,7,81.77,572.39,60.12,41.65,176.78,850.94,92.03,25.96,16.31,57.16,191.46,OTA,0.7,57.239,659.48,65.94800000000001
Hôtel des Îles,2025-01-22,Double,30,21,85.23,1789.83,269.57,11.87,174.0,2245.27,359.82,113.54,3.41,62.27,539.04,Direct,0.7,59.660999999999994,1706.23,56.87433333333333
Hôtel des Îles,2025-01-22,Deluxe,15,9,127.32,1145.88,163.97,86.46,236.35,1632.66,207.44,52.74,19.88,107.07,387.13,OTA,0.6,76.39200000000001,1245.5300000000002,83.03533333333334
Hôtel des Îles,2025-01-22,Suite,5,2,259.2,518.4,109.56,0.15,114.01,742.12,110.56,32.42,0.04,35.5,178.52,OTA,0.4,103.67999999999999,563.6,112.72
Hôtel des Îles,2025-01-23,Single,10,8,64.19,513.52,126.11,8.24,93.07,740.94,99.51,35.88,2.27,53.35,191.01,OTA,0.8,51.352,549.9300000000001,54.99300000000001
Hôtel des Îles,2025-01-23,Double,30,20,73.12,1462.4,191.0,75.95,189.61,1918.96,359.34,60.0,16.61,81.18,517.13,Direct,0.6666666666666666,48.74666666666667,1401.83,46.727666666666664
Hôtel des Îles,2025-01-23,Deluxe,15,7,139.76,978.32,109.58,63.55,223.43,1374.88,245.51,28.42,19.91,118.19,412.03,Direct,0.4666666666666667,65.22133333333333,962.8500000000001,64.19000000000001
Hôtel des Îles,2025-01-23,Suite,5,4,259.21,1036.84,221.76,29.85,158.15,1446.6,260.86,86.6,11.68,72.65,431.79,OTA,0.8,207.368,1014.81,202.962
Hôtel des Îles,2025-01-24,Single,10,4,46.26,185.04,26.68,2.94,170.34,385.0,29.44,8.88,0.91,73.38,112.61,OTA,0.4,18.503999999999998,272.39,27.238999999999997
Hôtel des Îles,2025-01-24,Double,30,17,73.42,1248.14,169.61,47.0,81.47,1546.22,193.04,74.52,11.66,30.31,309.53,Direct,0.5666666666666667,41.60466666666667,1236.69,41.223
Hôtel des Îles,2025-01-24,Deluxe,15,7,134.96,944.72,164.67,2.93,87.35,1199.67,259.5,66.42,0.79,36.08,362.79,OTA,0.4666666666666667,62.98133333333333,836.8800000000001,55.79200000000001
Hôtel des Îles,2025-01-24,Suite,5,5,235.42,1177.1,124.7,18.04,150.85,1470.69,329.41,37.19,3.89,61.38,431.87,OTA,1.0,235.42,1038.8200000000002,207.76400000000004
Hôtel des Îles,2025-01-25,Single,10,6,64.61,387.66,95.7,11.89,80.45,575.7,96.92,29.37,3.77,38.3,168.36,OTA,0.6,38.766000000000005,407.34000000000003,40.734
Hôtel des Îles,2025-01-25,Double,30,17,69.95,1189.15,245.91,37.56,179.21,1651.83,205.24,107.35,10.39,92.98,415.96,Direct,0.5666666666666667,39.638333333333335,1235.87,41.19566666666666
Hôtel des Îles,2025-01-25,Deluxe,15,11,155.42,1709.62,250.9,67.08,73.95,2101.55,462.28,75.12,25.49,42.39,605.28,Agency,0.7333333333333333,113.97466666666666,1496.2700000000002,99.75133333333335
Hôtel des Îles,2025-01-25,Suite,5,3,220.07,660.21,37.54,26.28,80.97,805.0,117.15,12.13,7.53,39.43,176.24,Direct,0.6,132.042,628.76,125.752
Hôtel des Îles,2025-01-26,Single,10,7,62.97,440.79,87.13,11.83,203.02,742.77,94.73,30.22,3.9,62.02,190.87,OTA,0.7,44.079,551.9,55.19
Hôtel des Îles,2025-01-26,Double,30,19,86.95,1652.05,200.47,78.3,217.11,2147.93,258.63,59.61,29.59,65.73,413.56,Direct,0.6333333333333333,55.068333333333335,1734.37,57.81233333333333
Hôtel des Îles,2025-01-26,Deluxe,15,7,149.72,1048.04,139.58,60.4,233.66,1481.68,221.35,40.23,18.33,133.75,413.66,Corporate,0.4666666666666667,69.86933333333333,1068.02,71.20133333333334
Hôtel des Îles,2025-01-26,Suite,5,5,263.73,1318.65,174.07,50.85,64.09,1607.66,252.81,54.81,19.78,24.66,352.06,OTA,1.0,263.73,1255.6000000000001,251.12000000000003
Hôtel des Îles,2025-01-27,Single,10,6,59.5,357.0,62.56,19.11,75.26,513.93,104.2,17.3,6.78,28.56,156.84,Agency,0.6,35.7,357.0899999999999,35.70899999999999
Hôtel des Îles,2025-01-27,Double,30,19,98.48,1871.12,381.7,15.56,242.47,2510.85,530.52,116.06,5.67,110.44,762.69,OTA,0.6333333333333333,62.370666666666665,1748.1599999999999,58.272
Hôtel des Îles,2025-01-27,Deluxe,15,11,175.45,1929.95,366.43,109.79,60.39,2466.56,538.38,125.19,27.72,22.5,713.79,OTA,0.7333333333333333,128.66333333333333,1752.77,116.85133333333333
Hôtel des Îles,2025-01-27,Suite,5,2,223.1,446.2,110.81,27.5,92.11,676.62,100.49,32.88,7.75,49.19,190.31,Corporate,0.4,89.24,486.31,97.262
Hôtel des Îles,2025-01-28,Single,10,8,61.63,493.04,84.32,22.08,147.28,746.72,111.3,24.06,8.01,68.12,211.49,Direct,0.8,49.304,535.23,53.523
Hôtel des Îles,2025-01-28,Double,30,18,85.9,1546.2,366.14,22.71,100.55,2035.6,326.24,119.59,8.15,43.93,497.91,Direct,0.6,51.54,1537.6899999999998,51.25633333333333
Hôtel des Îles,2025-01-28,Deluxe,15,11,163.59,1799.49,347.19,134.99,232.45,2514.12,525.29,103.79,30.55,90.81,750.44,Corporate,0.7333333333333333,119.966,1763.6799999999998,117.57866666666665
Hôtel des Îles,2025-01-28,Suite,5,1,251.31,251.31,14.88,10.93,117.71,394.83,55.54,5.54,4.09,58.69,123.86,OTA,0.2,50.262,270.96999999999997,54.193999999999996
